Hecate:ProjectEuler fwu$ python euler0044.py
22 7 8 0 4
35 5 7 1 5
70 23 24 0 7
70 4 8 3 7
145 48 49 0 10
210 22 25 2 12
247 82 83 0 13
287 47 49 1 14
376 125 126 0 16
425 70 72 1 17
425 26 31 4 17
532 177 178 0 19
532 22 29 6 19
590 37 42 4 20
651 71 74 2 21
715 238 239 0 22
715 19 29 9 22
715 12 25 12 22
782 7 24 16 23
925 308 309 0 25
925 26 36 9 25
1001 166 168 1 26
1001 25 36 10 26
1001 17 31 13 26
1162 387 388 0 28
1162 95 99 3 28
1162 52 59 6 28
1247 207 209 1 29
1335 147 150 2 30
1426 475 476 0 31
1426 117 121 3 31
1520 99 104 4 32
1617 87 93 5 33
1717 572 573 0 34
1820 119 124 4 35
1820 72 80 7 35
1926 67 76 8 36
2035 678 679 0 37
2035 63 73 9 37
2035 20 42 21 37
2147 357 359 1 38
2262 250 253 2 39
2262 57 69 11 39
2380 793 794 0 40
2380 110 117 6 40
2501 416 418 1 41
2625 143 149 5 42
2625 51 66 14 42
2752 917 918 0 43
2882 82 93 10 44
3015 47 65 17 45
3151 1050 1051 0 46
3290 217 222 4 47
3290 45 65 19 47
3290 14 49 34 47
3432 380 383 2 48
3432 10 49 38 48
3577 1192 1193 0 49
3577 167 174 6 49
3725 620 622 1 50
3725 246 251 4 50
3876 42 66 23 51
4030 1343 1344 0 52
4030 334 338 3 52
4030 97 110 12 52
4030 28 59 30 52
4187 697 699 1 53
4510 1503 1504 0 55
4510 374 378 3 55
4676 191 199 7 56
4845 537 540 2 57
4845 39 69 29 57
5017 1672 1673 0 58
5192 152 163 10 59
5370 112 127 14 60
5551 1850 1851 0 61
5551 261 268 6 61
5551 136 149 12 61
5735 955 957 1 62
5735 380 385 4 62
5922 215 224 8 63
5922 37 73 35 63
6112 2037 2038 0 64
6305 1050 1052 1 65
6305 418 423 4 65
6305 68 94 25 65
6501 721 724 2 66
6700 2233 2234 0 67
6700 77 102 24 67
6700 36 76 39 67
6902 127 144 16 68
6902 65 94 28 68
7107 392 398 5 69
7315 2438 2439 0 70
7315 345 352 6 70
7315 239 249 9 70
7315 119 138 18 70
7315 100 122 21 70
7315 17 72 54 70
7526 21 74 52 71
7740 35 80 44 72
7957 2652 2653 0 73
8177 1362 1364 1 74
8177 152 169 16 74
8177 92 118 25 74
8400 932 935 2 75
8400 123 144 20 75
8626 2875 2876 0 76
8626 717 721 3 76
8626 142 161 18 76
8855 1475 1477 1 77
8855 588 593 4 77
8855 263 274 10 77
8855 204 218 13 77
8855 117 140 22 77
8855 67 102 34 77
9087 502 508 5 78
9322 3107 3108 0 79
9322 775 779 3 79
9560 635 640 4 80
10045 3348 3349 0 82
10045 475 482 6 82
10045 330 340 9 82
10045 44 93 48 82
10045 13 83 69 82
10292 425 433 7 83
10542 1170 1173 2 84
10542 287 299 11 84
10542 157 178 20 84
10795 3598 3599 0 85
10795 355 365 9 85
10795 89 123 33 85
11051 1841 1843 1 86
11310 244 259 14 87
11310 33 93 59 87
11572 3857 3858 0 88
11837 1972 1974 1 89
11837 275 289 13 89
11837 85 123 37 89
12105 444 453 8 90
12376 4125 4126 0 91
12376 586 593 6 91
12376 311 324 12 91
12376 250 266 15 91
12650 841 846 4 92
12650 378 389 10 92
12650 201 221 19 92
12650 172 195 22 92
12650 74 118 43 92
12927 1435 1438 2 93
13207 4402 4403 0 94
13490 897 902 4 95
13490 215 235 19 95
13490 28 99 70 95
14065 4688 4689 0 97
14065 464 474 9 97
14065 52 110 57 97
14357 2392 2394 1 98
